Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT6X9.5,9.50,2.79,6.08,6  1/8 ,4.01,4      ,0.235,  1/4 ,  1/8 ,0.350,  3/8 ,0.650,  7/8 ,1.65,0.348,5.72,25.9,10.1,4.11,2.28,1.90,1.88,1.49,0.939,0.821,0.0899,0.0934,2.54,0.665,15.8,19.8,16.2,20.2,2  1/4 
WT6X8,8.00,2.36,6.00,6      ,3.99,4      ,0.220,  1/4 ,  1/8 ,0.265,  1/4 ,0.565, 13/16,1.74,0.639,7.53,27.3,8.70,3.72,2.04,1.92,1.41,1.13,0.706,0.773,0.0511,0.0678,2.62,0.624,15.6,19.6,16.0,20.0,2  1/4 
WT6X7,7.00,2.08,5.96,6      ,3.97,4      ,0.200,  3/16,  1/8 ,0.225,  1/4 ,0.525,  3/4 ,1.76,0.760,8.82,29.8,7.67,3.32,1.83,1.92,1.18,0.947,0.593,0.753,0.0350,0.0493,2.64,0.611,15.5,19.5,15.9,19.9,2  1/4 
WT5X56,56.0,16.5,5.68,5  5/8 ,10.4,10  3/8 ,0.755,  3/4 ,  3/8 ,1.25,1  1/4 ,1.75,1 15/16,1.21,0.791,4.17,7.52,28.6,13.4,6.40,1.32,118,34.6,22.6,2.67,7.50,16.9,3.04,0.963,21.2,31.6,21.8,32.2,5  1/2 
WT5X50,50.0,14.7,5.55,5  1/2 ,10.3,10  3/8 ,0.680, 11/16,  3/8 ,1.12,1  1/8 ,1.62,1 13/16,1.13,0.711,4.62,8.16,24.5,11.4,5.56,1.29,103,30.5,20.0,2.65,5.41,11.9,3.00,0.964,20.9,31.2,21.4,31.7,5  1/2 
WT5X44,44.0,13.0,5.42,5  3/8 ,10.3,10  1/4 ,0.605,  5/8 ,  5/16,0.990,1      ,1.49,1 11/16,1.06,0.631,5.18,8.96,20.8,9.65,4.77,1.27,89.3,26.5,17.4,2.63,3.75,8.02,2.97,0.964,20.6,30.9,21.1,31.4,5  1/2 
WT5X38.5,38.5,11.3,5.30,5  1/4 ,10.2,10  1/4 ,0.530,  1/2 ,  1/4 ,0.870,  7/8 ,1.37,1  9/16,0.990,0.555,5.86,10.0,17.4,8.06,4.05,1.24,76.8,22.9,15.1,2.60,2.55,5.31,2.94,0.964,20.3,30.5,20.8,31.0,5  1/2 
WT5X34,34.0,10.0,5.20,5  1/4 ,10.1,10  1/8 ,0.470,  1/2 ,  1/4 ,0.770,  3/4 ,1.27,1  7/16,0.932,0.493,6.58,11.1,14.9,6.85,3.49,1.22,66.7,20.0,13.2,2.58,1.78,3.62,2.91,0.965,20.0,30.1,20.5,30.6,5  1/2 
WT5X30,30.0,8.84,5.11,5  1/8 ,10.1,10  1/8 ,0.420,  7/16,  1/4 ,0.680, 11/16,1.18,1  3/8 ,0.884,0.438,7.41,12.2,12.9,5.87,3.04,1.21,58.1,17.5,11.5,2.57,1.23,2.46,2.89,0.964,19.8,29.9,20.3,30.4,5  1/2 
WT5X27,27.0,7.90,5.05,5      ,10.0,10      ,0.370,  3/8 ,  3/16,0.615,  5/8 ,1.12,1  5/16,0.836,0.395,8.15,13.6,11.1,5.05,2.64,1.19,51.7,15.6,10.3,2.56,0.909,1.78,2.87,0.966,19.6,29.6,20.1,30.1,5  1/2 
