Name,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS10X3X3/8,30.03,8.27,10.0,8.95,3.00,1.95,0.375,0.349,5.60,25.7,88.0,23.7,17.6,3.26,12.4,9.73,8.28,1.22,37.8,17.7
HSS10X3X5/16,25.46,7.01,10.0,9.13,3.00,2.13,0.3125,0.291,7.31,31.4,76.3,20.3,15.3,3.30,11.0,8.42,7.30,1.25,33.0,15.2
HSS10X3X1/4,20.72,5.70,10.0,9.30,3.00,2.30,0.250,0.233,9.88,39.9,63.6,16.7,12.7,3.34,9.28,6.99,6.19,1.28,27.6,12.5
HSS10X3X3/16,15.80,4.32,10.0,9.48,3.00,2.48,0.1875,0.174,14.2,54.5,49.4,12.8,9.87,3.38,7.33,5.41,4.89,1.30,21.5,9.64
HSS10X3X1/8,10.71,2.93,10.0,9.65,3.00,2.65,0.125,0.116,22.9,83.2,34.2,8.80,6.83,3.42,5.16,3.74,3.44,1.33,14.9,6.61
HSS10X2X3/8,27.48,7.58,10.0,8.95,2.00,0.953,0.375,0.349,2.73,25.7,71.7,20.3,14.3,3.08,4.70,5.76,4.70,0.787,15.9,11.0
HSS10X2X5/16,23.34,6.43,10.0,9.13,2.00,1.13,0.3125,0.291,3.87,31.4,62.6,17.5,12.5,3.12,4.24,5.06,4.24,0.812,14.2,9.56
HSS10X2X1/4,19.02,5.24,10.0,9.30,2.00,1.30,0.250,0.233,5.58,39.9,52.5,14.4,10.5,3.17,3.67,4.26,3.67,0.838,12.2,7.99
HSS10X2X3/16,14.53,3.98,10.0,9.48,2.00,1.48,0.1875,0.174,8.49,54.5,41.0,11.1,8.19,3.21,2.97,3.34,2.97,0.864,9.74,6.22
HSS10X2X1/8,9.86,2.70,10.0,9.65,2.00,1.65,0.125,0.116,14.2,83.2,28.5,7.65,5.70,3.25,2.14,2.33,2.14,0.890,6.90,4.31
HSS9X9X5/8,67.82,18.7,9.00,7.26,9.00,7.26,0.625,0.581,12.5,12.5,216,58.1,47.9,3.40,216,58.1,47.9,3.40,356,81.6
HSS9X9X1/2,55.66,15.3,9.00,7.60,9.00,7.60,0.500,0.465,16.4,16.4,183,48.4,40.6,3.45,183,48.4,40.6,3.45,296,67.4
HSS9X9X3/8,42.79,11.8,9.00,7.95,9.00,7.95,0.375,0.349,22.8,22.8,145,37.8,32.2,3.51,145,37.8,32.2,3.51,231,52.1
HSS9X9X5/16,36.10,9.92,9.00,8.13,9.00,8.13,0.3125,0.291,27.9,27.9,124,32.1,27.6,3.54,124,32.1,27.6,3.54,196,44.0
HSS9X9X1/4,29.23,8.03,9.00,8.30,9.00,8.30,0.250,0.233,35.6,35.6,102,26.2,22.7,3.56,102,26.2,22.7,3.56,159,35.8
HSS9X9X3/16,22.18,6.06,9.00,8.48,9.00,8.48,0.1875,0.174,48.7,48.7,78.2,20.0,17.4,3.59,78.2,20.0,17.4,3.59,121,27.1
HSS9X9X1/8,14.96,4.09,9.00,8.65,9.00,8.65,0.125,0.116,74.6,74.6,53.5,13.6,11.9,3.62,53.5,13.6,11.9,3.62,82.0,18.3
HSS9X7X5/8,59.32,16.4,9.00,7.26,7.00,5.26,0.625,0.581,9.05,12.5,174,48.3,38.7,3.26,117,40.5,33.5,2.68,235,62.0
HSS9X7X1/2,48.85,13.5,9.00,7.60,7.00,5.60,0.500,0.465,12.1,16.4,149,40.5,33.0,3.32,100,34.0,28.7,2.73,197,51.5
HSS9X7X3/8,37.69,10.4,9.00,7.95,7.00,5.95,0.375,0.349,17.1,22.8,119,31.8,26.4,3.38,80.4,26.7,23.0,2.78,154,40.0
HSS9X7X5/16,31.84,8.76,9.00,8.13,7.00,6.13,0.3125,0.291,21.1,27.9,102,27.1,22.6,3.41,69.2,22.8,19.8,2.81,131,33.9
HSS9X7X1/4,25.82,7.10,9.00,8.30,7.00,6.30,0.250,0.233,27.0,35.6,84.1,22.2,18.7,3.44,57.2,18.7,16.3,2.84,107,27.6
