Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
W44X335,335,98.5,44.0,44      ,15.9,16      ,1.03,1      ,  1/2 ,1.77,1  3/4 ,2.56,3      ,1  3/4 ,4.50,38.0,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,168,1180,278,805,4.24,42.2,132,148,104,120,38      ,5  1/2 
W44X290,290,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2 13/16,1  5/8 ,5.02,45.0,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,166,1040,248,701,4.20,42.0,131,147,103,119,38      ,5  1/2 
W44X262,262,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  5/8 ,1  5/8 ,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,165,928,223,630,4.17,41.9,131,147,102,118,38      ,5  1/2 
W44X230,230,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  7/16,1  9/16,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,165,793,192,547,4.13,41.7,130,146,102,118,38      ,5  1/2 
W40X655,655,193,43.6,43  5/8 ,16.9,16  7/8 ,1.97,2      ,1      ,3.54,3  9/16,4.72,4 13/16,2  3/16,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,169,2530,529,1530,4.71,40.1,132,149,104,121,34      ,7  1/2 
W40X593,593,174,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400,2760,2340,17.0,2520,481,302,3.80,445,997000,166,2240,479,1370,4.63,39.8,130,147,103,120,34      ,7  1/2 
W40X503,503,148,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,161,1830,403,1150,4.50,39.3,129,145,101,117,34      ,7  1/2 
W40X431,431,127,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,158,1510,341,969,4.41,38.9,127,143,98.8,115,34      ,7  1/2 
W40X397,397,117,41.0,41      ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.38,3  1/2 ,1 13/16,3.66,28.0,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,156,1380,318,891,4.38,38.8,126,142,98.1,114,34      ,7  1/2 
W40X372,372,110,40.6,40  5/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,1 13/16,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.60,116,528000,155,1280,295,829,4.33,38.6,125,141,97.3,113,34      ,7  1/2 
W40X362,362,106,40.6,40  1/2 ,16.0,16      ,1.12,1  1/8 ,  9/16,2.01,2      ,3.19,3  1/4 ,1  3/4 ,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.60,109,513000,154,1240,289,808,4.33,38.6,125,141,97.2,113,34      ,7  1/2 
W40X324,324,95.3,40.2,40  1/8 ,15.9,15  7/8 ,1.00,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1 11/16,4.40,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,153,1100,259,720,4.27,38.4,124,140,96.3,112,34      ,7  1/2 
W40X297,297,87.3,39.8,39  7/8 ,15.8,15  7/8 ,0.930, 15/16,  1/2 ,1.65,1  5/8 ,2.83,2 15/16,1 11/16,4.80,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,151,982,234,652,4.22,38.2,123,139,95.4,111,34      ,7  1/2 
W40X277,277,81.5,39.7,39  3/4 ,15.8,15  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,151,940,225,614,4.25,38.1,123,139,95.2,111,34      ,7  1/2 
W40X249,249,73.5,39.4,39  3/8 ,15.8,15  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,150,841,203,551,4.21,38.0,122,138,94.6,110,34      ,7  1/2 
W40X215,215,63.5,39.0,39      ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.22,1  1/4 ,2.40,2  1/2 ,1  9/16,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,149,719,175,473,4.19,37.8,122,138,93.8,110,34      ,7  1/2 
W40X199,199,58.8,38.7,38  5/8 ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.07,1  1/16,2.25,2  5/16,1  9/16,7.39,52.6,14900,869,770,16.0,695,137,88.2,3.45,18.3,246000,149,628,153,427,4.12,37.6,121,137,93.2,109,34      ,7  1/2 
W40X392,392,116,41.6,41  5/8 ,12.4,12  3/8 ,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,3.70,3 13/16,1 15/16,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,121,946,270,848,3.30,39.1,116,128,95.6,108,34      ,7  1/2 
W40X331,331,97.7,40.8,40  3/4 ,12.2,12  1/8 ,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.86,28.0,24700,1430,1210,15.9,644,172,106,2.57,105,241000,118,766,226,706,3.21,38.7,114,126,93.8,106,34      ,7  1/2 
W40X327,327,95.9,40.8,40  3/4 ,12.1,12  1/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.85,29.0,24500,1410,1200,16.0,640,170,105,2.58,103,239000,117,754,225,695,3.21,38.7,114,126,93.7,106,34      ,7  1/2 
W40X294,294,86.2,40.4,40  3/8 ,12.0,12      ,1.06,1  1/16,  9/16,1.93,1 15/16,3.11,3  3/16,1  3/4 ,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,115,668,203,622,3.16,38.5,113,125,92.8,105,34      ,7  1/2 
W40X278,278,82.3,40.2,40  1/8 ,12.0,12      ,1.03,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1  3/4 ,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65.0,192000,115,622,190,587,3.13,38.4,112,124,92.4,104,34      ,7  1/2 
W40X264,264,77.4,40.0,40      ,11.9,11  7/8 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.91,3      ,1 11/16,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,114,589,182,555,3.12,38.3,112,124,91.9,104,34      ,7  1/2 
W40X235,235,69.1,39.7,39  3/4 ,11.9,11  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,113,530,166,495,3.11,38.1,111,123,91.3,103,34      ,7  1/2 
W40X211,211,62.1,39.4,39  3/8 ,11.8,11  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,112,468,148,442,3.07,38.0,110,122,90.6,102,34      ,7  1/2 
W40X183,183,53.3,39.0,39      ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.20,1  3/16,2.38,2  1/2 ,1  9/16,4.92,52.6,13200,774,675,15.7,331,88.3,56.0,2.49,19.3,118000,112,395,126,376,3.04,37.8,110,122,89.8,102,34      ,7  1/2 
W40X167,167,49.3,38.6,38  5/8 ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.03,1      ,2.21,2  5/16,1  9/16,5.76,52.6,11600,693,600,15.3,283,76.0,47.9,2.40,14.0,99700,111,336,107,336,2.98,37.6,109,121,89.0,101,34      ,7  1/2 
