Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
W10X54,54.0,15.8,10.1,10  1/8 ,10.0,10      ,0.370,  3/8 ,  3/16,0.615,  5/8 ,1.12,1  5/16, 13/16,8.15,21.2,303,66.6,60.0,4.37,103,31.3,20.6,2.56,1.82,2320,23.7,36.5,14.0,32.8,2.85,9.49,48.6,58.6,30.2,40.2,7  1/2 ,5  1/2 
W10X49,49.0,14.4,10.0,10      ,10.0,10      ,0.340,  5/16,  3/16,0.560,  9/16,1.06,1  1/4 , 13/16,8.93,23.1,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54,1.39,2070,23.6,33.0,12.8,29.8,2.84,9.44,48.5,58.5,30.0,40.0,7  1/2 ,5  1/2 
W10X45,45.0,13.3,10.1,10  1/8 ,8.02,8      ,0.350,  3/8 ,  3/16,0.620,  5/8 ,1.12,1  5/16, 13/16,6.47,22.5,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01,1.51,1200,19.0,23.6,11.3,27.0,2.27,9.48,42.7,50.7,28.2,36.2,7  1/2 ,5  1/2 
W10X39,39.0,11.5,9.92,9  7/8 ,7.99,8      ,0.315,  5/16,  3/16,0.530,  1/2 ,1.03,1  3/16, 13/16,7.53,25.0,209,46.8,42.1,4.27,45.0,17.2,11.3,1.98,0.976,992,18.8,19.9,9.55,23.0,2.24,9.39,42.3,50.3,27.8,35.8,7  1/2 ,5  1/2 
W10X33,33.0,9.71,9.73,9  3/4 ,7.96,8      ,0.290,  5/16,  3/16,0.435,  7/16,0.935,1  1/8 ,  3/4 ,9.15,27.1,171,38.8,35.0,4.19,36.6,14.0,9.20,1.94,0.583,791,18.5,16.0,7.75,18.9,2.20,9.30,41.9,49.9,27.4,35.4,7  1/2 ,5  1/2 
W10X30,30.0,8.84,10.5,10  1/2 ,5.81,5  3/4 ,0.300,  5/16,  3/16,0.510,  1/2 ,0.810,1  1/8 , 11/16,5.70,29.5,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37,0.622,414,14.5,10.7,7.02,18.2,1.60,9.99,37.3,43.1,26.8,32.6,8  1/4 ,2  3/4 
W10X26,26.0,7.61,10.3,10  3/8 ,5.77,5  3/4 ,0.260,  1/4 ,  1/8 ,0.440,  7/16,0.740,1  1/16, 11/16,6.56,34.0,144,31.3,27.9,4.35,14.1,7.50,4.89,1.36,0.402,345,14.2,9.03,5.98,15.4,1.58,9.86,36.8,42.6,26.4,32.1,8  1/4 ,2  3/4 
W10X22,22.0,6.49,10.2,10  1/8 ,5.75,5  3/4 ,0.240,  1/4 ,  1/8 ,0.360,  3/8 ,0.660, 15/16,  5/8 ,7.99,36.9,118,26.0,23.2,4.27,11.4,6.10,3.97,1.33,0.239,275,14.1,7.32,4.88,12.9,1.55,9.84,36.6,42.4,26.2,31.9,8  1/4 ,2  3/4 
W10X19,19.0,5.62,10.2,10  1/4 ,4.02,4      ,0.250,  1/4 ,  1/8 ,0.395,  3/8 ,0.695, 15/16,  5/8 ,5.09,35.4,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,0.233,104,9.85,3.91,3.65,10.6,1.06,9.81,31.5,35.5,24.4,28.4,8  3/8 ,2  1/4 
W10X17,17.0,4.99,10.1,10  1/8 ,4.01,4      ,0.240,  1/4 ,  1/8 ,0.330,  5/16,0.630,  7/8 ,  9/16,6.08,36.9,81.9,18.7,16.2,4.05,3.56,2.80,1.78,0.845,0.156,85.1,9.79,3.24,3.04,9.14,1.04,9.77,31.2,35.2,24.2,28.2,8  3/8 ,2  1/4 
