Name,W,A,d,b,t,kdes,kdet,x,y,xp,yp,b/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan(_),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L8X8X1/2,26.4,7.84,8.00,8.00,0.500,1.13,1  1/8 ,2.17,2.17,0.490,0.490,16.0,48.8,15.1,8.36,2.49,48.8,15.1,8.36,2.49,19.8,1.59,6.45,0.683,3.23,4.45,0.630,1.00,77.9,5.48,0,5.48,2.76,3.07,2.76,14.2,Ð,14.2,7.17,6.45,7.17,24.0,24.0,32.0
L8X6X1,44.2,13.1,6.00,8.00,1.00,1.50,1  1/2 ,1.65,2.65,0.819,1.45,8.00,80.9,27.3,15.1,2.49,38.8,16.2,8.92,1.72,21.3,1.28,7.61,4.34,16.3,3.88,Ð,0.542,98.4,3.96,1.54,5.25,2.80,2.71,1.54,24.8,63.9,18.7,7.61,7.86,13.8,22.0,20.0,28.0
L8X6X7/8,39.1,11.5,6.00,8.00,0.875,1.38,1  3/8 ,1.60,2.60,0.719,1.43,9.14,72.4,24.3,13.4,2.50,34.9,14.4,7.94,1.74,18.9,1.28,6.70,2.96,11.3,3.92,Ð,0.546,88.4,4.01,1.51,5.30,2.82,2.65,1.57,22.0,58.5,16.7,6.70,7.13,12.0,22.0,20.0,28.0
L8X6X3/4,33.8,9.99,6.00,8.00,0.750,1.25,1  1/4 ,1.56,2.55,0.624,1.34,10.7,63.5,21.1,11.7,2.52,30.8,12.5,6.92,1.75,16.6,1.29,5.85,1.90,7.28,3.95,Ð,0.550,77.8,4.05,1.48,5.35,2.84,2.60,1.59,19.2,52.6,14.5,5.85,6.38,10.4,22.0,20.0,28.0
L8X6X5/8,28.5,8.41,6.00,8.00,0.625,1.13,1  1/8 ,1.51,2.50,0.526,1.27,12.8,54.2,17.9,9.86,2.54,26.4,10.5,5.88,1.77,14.1,1.29,4.91,1.12,4.33,3.98,Ð,0.554,66.5,4.09,1.45,5.39,2.87,2.53,1.62,16.3,45.9,12.3,4.91,5.57,8.70,22.0,20.0,28.0
L8X6X9/16,25.7,7.61,6.00,8.00,0.563,1.06,1  1/16,1.49,2.48,0.476,1.24,14.2,49.4,16.2,8.94,2.55,24.1,9.52,5.34,1.78,12.8,1.30,4.46,0.823,3.20,3.99,Ð,0.556,60.7,4.11,1.44,5.41,2.87,2.51,1.62,14.8,42.2,11.2,4.46,5.10,7.90,22.0,20.0,28.0
L8X6X1/2,23.0,6.80,6.00,8.00,0.500,1.00,1      ,1.46,2.46,0.425,1.20,16.0,44.4,14.6,8.01,2.55,21.7,8.52,4.79,1.79,11.5,1.30,3.98,0.584,2.28,4.01,Ð,0.557,54.6,4.14,1.44,5.43,2.89,2.47,1.64,13.2,37.9,10.1,3.98,4.66,7.01,22.0,20.0,28.0
L8X6X7/16,20.2,5.99,6.00,8.00,0.438,0.938, 15/16,1.44,2.43,0.374,1.15,18.3,39.3,12.9,7.06,2.56,19.3,7.50,4.23,1.80,10.2,1.31,3.52,0.396,1.55,4.02,Ð,0.559,48.4,4.16,1.42,5.46,2.90,2.44,1.65,11.6,34.1,8.86,3.52,4.18,6.18,22.0,20.0,28.0
L8X4X1,37.4,11.1,4.00,8.00,1.00,1.50,1  1/2 ,1.04,3.03,0.694,2.45,8.00,69.7,24.3,14.0,2.51,11.6,7.73,3.94,1.03,7.83,0.844,3.45,3.68,12.9,3.75,Ð,0.247,73.4,3.17,2.69,4.95,2.27,1.74,0.667,23.2,27.3,14.8,3.45,4.50,11.7,20.0,16.0,24.0
L8X4X7/8,33.1,9.79,4.00,8.00,0.875,1.38,1  3/8 ,0.997,2.99,0.612,2.41,9.14,62.6,21.7,12.5,2.53,10.5,6.77,3.51,1.04,6.97,0.846,3.04,2.51,8.89,3.78,Ð,0.252,66.1,3.21,2.66,4.99,2.29,1.70,0.681,20.6,24.8,13.2,3.04,4.10,10.2,20.0,16.0,24.0
L8X4X3/4,28.7,8.49,4.00,8.00,0.750,1.25,1  1/4 ,0.949,2.94,0.531,2.34,10.7,55.0,18.9,10.9,2.55,9.37,5.82,3.07,1.05,6.14,0.850,2.65,1.61,5.75,3.80,Ð,0.257,58.2,3.24,2.61,5.04,2.32,1.65,0.704,18.0,22.3,11.5,2.65,3.72,8.72,20.0,16.0,24.0
L8X4X5/8,24.2,7.16,4.00,8.00,0.625,1.13,1  1/8 ,0.902,2.89,0.448,2.27,12.8,47.0,16.1,9.20,2.56,8.11,4.86,2.62,1.06,5.24,0.856,2.24,0.955,3.42,3.83,Ð,0.262,49.9,3.28,2.57,5.09,2.34,1.61,0.725,15.2,19.4,9.80,2.24,3.25,7.23,20.0,16.0,24.0
L8X4X9/16,21.9,6.49,4.00,8.00,0.563,1.06,1  1/16,0.878,2.86,0.406,2.23,14.2,42.9,14.6,8.34,2.57,7.44,4.39,2.38,1.07,4.78,0.859,2.03,0.704,2.53,3.84,Ð,0.264,45.6,3.29,2.54,5.12,2.36,1.58,0.736,13.9,18.0,8.91,2.03,3.03,6.49,20.0,16.0,24.0
L8X4X1/2,19.6,5.80,4.00,8.00,0.500,1.00,1      ,0.854,2.84,0.363,2.20,16.0,38.6,13.1,7.48,2.58,6.75,3.91,2.15,1.08,4.32,0.863,1.82,0.501,1.80,3.86,Ð,0.266,41.0,3.31,2.52,5.14,2.37,1.56,0.744,12.4,16.3,7.98,1.82,2.77,5.81,20.0,16.0,24.0
L8X4X7/16,17.2,5.11,4.00,8.00,0.438,0.938, 15/16,0.829,2.81,0.319,2.16,18.3,34.2,11.6,6.59,2.59,6.03,3.42,1.90,1.09,3.84,0.867,1.61,0.340,1.22,3.87,Ð,0.268,36.4,3.33,2.50,5.17,2.39,1.53,0.758,10.9,14.6,7.04,1.61,2.51,5.07,20.0,16.0,24.0
L7X4X3/4,26.2,7.74,4.00,7.00,0.750,1.25,1  1/4 ,1.00,2.50,0.553,1.84,9.33,37.8,14.8,8.39,2.21,9.00,5.60,3.01,1.08,5.63,0.855,2.56,1.47,3.97,3.31,Ð,0.324,41.2,2.95,2.07,4.47,2.20,1.72,0.790,14.0,19.9,9.22,2.56,3.27,7.13,18.0,15.0,22.0
L7X4X5/8,22.1,6.50,4.00,7.00,0.625,1.13,1  1/8 ,0.958,2.45,0.464,1.80,11.2,32.4,12.5,7.12,2.23,7.79,4.69,2.56,1.10,4.81,0.860,2.17,0.868,2.37,3.34,Ð,0.329,35.4,2.98,2.03,4.52,2.22,1.68,0.808,11.9,17.4,7.83,2.17,2.86,5.95,18.0,15.0,22.0
L7X4X1/2,17.9,5.26,4.00,7.00,0.500,1.00,1      ,0.910,2.40,0.376,1.74,14.0,26.6,10.2,5.79,2.25,6.48,3.77,2.10,1.11,3.94,0.866,1.75,0.456,1.25,3.37,Ð,0.334,29.1,3.02,1.99,4.57,2.25,1.62,0.834,9.64,14.6,6.37,1.75,2.43,4.72,18.0,15.0,22.0
L7X4X7/16,15.7,4.63,4.00,7.00,0.438,0.938, 15/16,0.886,2.38,0.331,1.71,16.0,23.6,9.03,5.11,2.26,5.79,3.31,1.86,1.12,3.50,0.869,1.55,0.310,0.851,3.38,Ð,0.337,25.9,3.04,1.97,4.59,2.26,1.60,0.846,8.52,13.1,5.64,1.55,2.19,4.14,18.0,15.0,22.0
L7X4X3/8,13.6,4.00,4.00,7.00,0.375,0.875,  7/8 ,0.861,2.35,0.286,1.67,18.7,20.5,7.81,4.42,2.27,5.06,2.84,1.61,1.12,3.04,0.873,1.33,0.198,0.544,3.40,Ð,0.339,22.5,3.06,1.95,4.62,2.28,1.57,0.859,7.35,11.5,4.87,1.33,1.94,3.54,18.0,15.0,22.0
L6X6X1,37.4,11.0,6.00,6.00,1.00,1.50,1  1/2 ,1.86,1.86,0.917,0.917,6.00,35.4,15.4,8.55,1.79,35.4,15.4,8.55,1.79,14.9,1.17,5.67,3.68,9.24,3.18,0.640,1.00,55.8,3.89,0,3.89,1.97,2.63,1.97,14.3,Ð,14.3,7.56,5.67,7.56,18.0,18.0,24.0
L6X6X7/8,33.1,9.75,6.00,6.00,0.875,1.38,1  3/8 ,1.81,1.81,0.813,0.813,6.86,31.9,13.7,7.61,1.81,31.9,13.7,7.61,1.81,13.3,1.17,5.20,2.51,6.41,3.21,0.630,1.00,50.5,3.93,0,3.93,1.99,2.56,1.99,12.8,Ð,12.8,6.68,5.20,6.68,18.0,18.0,24.0
L6X6X3/4,28.7,8.46,6.00,6.00,0.750,1.25,1  1/4 ,1.77,1.77,0.705,0.705,8.00,28.1,11.9,6.64,1.82,28.1,11.9,6.64,1.82,11.6,1.17,4.64,1.61,4.17,3.24,0.630,1.00,44.6,3.98,0,3.98,2.00,2.50,2.00,11.2,Ð,11.2,5.80,4.64,5.80,18.0,18.0,24.0
L6X6X5/8,24.2,7.13,6.00,6.00,0.625,1.13,1  1/8 ,1.72,1.72,0.594,0.594,9.60,24.1,10.1,5.64,1.84,24.1,10.1,5.64,1.84,9.81,1.17,4.04,0.955,2.50,3.28,0.630,1.00,38.4,4.02,0,4.02,2.03,2.43,2.03,9.55,Ð,9.55,4.83,4.04,4.83,18.0,18.0,24.0
L6X6X9/16,21.9,6.45,6.00,6.00,0.563,1.06,1  1/16,1.70,1.70,0.538,0.538,10.7,22.0,9.18,5.12,1.85,22.0,9.18,5.12,1.85,8.90,1.18,3.71,0.704,1.85,3.29,0.630,1.00,35.1,4.04,0,4.04,2.04,2.40,2.04,8.69,Ð,8.69,4.36,3.71,4.36,18.0,18.0,24.0
L6X6X1/2,19.6,5.77,6.00,6.00,0.500,1.00,1      ,1.67,1.67,0.481,0.481,12.0,19.9,8.22,4.59,1.86,19.9,8.22,4.59,1.86,8.06,1.18,3.42,0.501,1.32,3.31,0.630,1.00,31.8,4.07,0,4.07,2.06,2.36,2.06,7.81,Ð,7.81,3.91,3.42,3.91,18.0,18.0,24.0
L6X6X7/16,17.2,5.08,6.00,6.00,0.438,0.938, 15/16,1.65,1.65,0.423,0.423,13.7,17.6,7.25,4.06,1.86,17.6,7.25,4.06,1.86,7.05,1.18,3.03,0.340,0.899,3.32,0.630,1.00,28.1,4.09,0,4.09,2.06,2.33,2.06,6.87,Ð,6.87,3.42,3.03,3.42,18.0,18.0,24.0
L6X6X3/8,14.9,4.38,6.00,6.00,0.375,0.875,  7/8 ,1.62,1.62,0.365,0.365,16.0,15.4,6.27,3.51,1.87,15.4,6.27,3.51,1.87,6.21,1.19,2.71,0.218,0.575,3.34,0.630,1.00,24.6,4.11,0,4.11,2.08,2.29,2.08,5.99,Ð,5.99,2.99,2.71,2.99,18.0,18.0,24.0
L6X6X5/16,12.4,3.67,6.00,6.00,0.313,0.813, 13/16,1.60,1.60,0.306,0.306,19.2,13.0,5.26,2.95,1.88,13.0,5.26,2.95,1.88,5.20,1.19,2.30,0.129,0.338,3.35,0.630,1.00,20.8,4.13,0,4.13,2.09,2.26,2.09,5.04,Ð,5.04,2.49,2.30,2.49,18.0,18.0,24.0
L6X4X7/8,27.2,8.00,4.00,6.00,0.875,1.38,1  3/8 ,1.12,2.12,0.667,1.43,6.86,27.7,12.7,7.13,1.86,9.70,6.26,3.37,1.10,5.82,0.854,2.91,2.03,4.04,2.82,Ð,0.421,31.6,2.67,1.52,3.84,2.00,1.86,0.877,11.8,20.8,8.23,2.91,3.13,6.64,16.0,14.0,20.0
L6X4X3/4,23.6,6.94,4.00,6.00,0.750,1.25,1  1/4 ,1.07,2.07,0.578,1.37,8.00,24.5,11.1,6.23,1.88,8.63,5.42,2.95,1.12,5.08,0.856,2.50,1.31,2.64,2.85,Ð,0.428,28.1,2.71,1.48,3.89,2.03,1.80,0.906,10.4,19.0,7.22,2.50,2.82,5.61,16.0,14.0,20.0
L6X4X5/8,20.0,5.86,4.00,6.00,0.625,1.13,1  1/8 ,1.03,2.03,0.488,1.31,9.60,21.0,9.44,5.29,1.89,7.48,4.56,2.52,1.13,4.32,0.859,2.12,0.775,1.59,2.88,Ð,0.435,24.2,2.76,1.45,3.93,2.04,1.75,0.926,8.77,16.7,6.16,2.12,2.47,4.67,16.0,14.0,20.0
L6X4X9/16,18.1,5.31,4.00,6.00,0.563,1.06,1  1/16,1.00,2.00,0.443,1.28,10.7,19.2,8.59,4.81,1.90,6.86,4.13,2.29,1.14,3.93,0.861,1.91,0.572,1.18,2.90,Ð,0.438,22.1,2.78,1.43,3.95,2.06,1.72,0.947,7.95,15.5,5.59,1.91,2.28,4.15,16.0,14.0,20.0
L6X4X1/2,16.2,4.75,4.00,6.00,0.500,1.00,1      ,0.981,1.98,0.396,1.25,12.0,17.3,7.71,4.31,1.91,6.22,3.69,2.06,1.14,3.54,0.864,1.72,0.407,0.843,2.91,Ð,0.440,20.0,2.80,1.41,3.97,2.06,1.70,0.955,7.14,14.2,5.04,1.72,2.08,3.71,16.0,14.0,20.0
L6X4X7/16,14.3,4.18,4.00,6.00,0.438,0.938, 15/16,0.957,1.95,0.348,1.22,13.7,15.4,6.81,3.81,1.92,5.56,3.24,1.83,1.15,3.14,0.867,1.51,0.276,0.575,2.93,Ð,0.443,17.8,2.82,1.39,4.00,2.08,1.67,0.970,6.31,12.8,4.45,1.51,1.88,3.24,16.0,14.0,20.0
L6X4X3/8,12.3,3.61,4.00,6.00,0.375,0.875,  7/8 ,0.933,1.93,0.301,1.19,16.0,13.4,5.89,3.30,1.93,4.86,2.79,1.58,1.16,2.73,0.870,1.31,0.177,0.369,2.94,Ð,0.446,15.5,2.84,1.38,4.02,2.09,1.64,0.979,5.46,11.2,3.86,1.31,1.66,2.79,16.0,14.0,20.0
L6X4X5/16,10.3,3.03,4.00,6.00,0.313,0.813, 13/16,0.908,1.90,0.253,1.15,19.2,11.4,4.96,2.77,1.94,4.13,2.33,1.34,1.17,2.31,0.874,1.09,0.104,0.217,2.96,Ð,0.449,13.2,2.85,1.36,4.05,2.11,1.60,0.988,4.63,9.71,3.26,1.09,1.44,2.34,16.0,14.0,20.0
